===== 报告生成时生效的阈值配置 =====
配置项,数值
温度下限 (℃),15
温度上限 (℃),30
湿度下限 (%),30
湿度上限 (%),70
温度漂移阈值 (℃),2
湿度漂移阈值 (%),10
断点时间阈值 (秒),600

===== 异常明细 =====
异常ID,传感器,传感器ID,类型,描述,检测时间,读数时间,温度,湿度,当前状态,处理人,处理原因,标注时间,是否回滚,回滚原因
a_mqioqsjvd9,常温试剂柜,SENS-004,湿度漂移,湿度突变 17.80%，超过阈值 10%（前值 40.20%）,2026-06-17 23:11:42,2025-05-07T06:50:00.000Z,22.24,58,待处理,,,,否,
a_mqioqsjv6d,常温试剂柜,SENS-004,温度漂移,温度突变 5.68℃，超过阈值 2℃（前值 27.46℃）,2026-06-17 23:11:42,2025-05-07T06:25:00.000Z,21.78,41.6,待处理,,,,否,
a_mqioqsjv2c,常温试剂柜,SENS-004,温度漂移,温度突变 5.41℃，超过阈值 2℃（前值 22.05℃）,2026-06-17 23:11:42,2025-05-07T06:20:00.000Z,27.46,41.9,待处理,,,,否,
a_mqioqsjv96,常温试剂柜,SENS-004,湿度漂移,湿度突变 19.90%，超过阈值 10%（前值 22.00%）,2026-06-17 23:11:42,2025-05-07T06:20:00.000Z,27.46,41.9,待处理,,,,否,
a_mqioqsju66,常温试剂柜,SENS-004,湿度越下限,湿度 22.00% 低于下限 30%,2026-06-17 23:11:42,2025-05-07T06:15:00.000Z,22.05,22,待处理,,,,否,
a_mqioqsju6e,常温试剂柜,SENS-004,湿度漂移,湿度突变 18.30%，超过阈值 10%（前值 40.30%）,2026-06-17 23:11:42,2025-05-07T06:15:00.000Z,22.05,22,待处理,,,,否,
a_mqioqsju8f,常温试剂柜,SENS-004,湿度漂移,湿度突变 19.60%，超过阈值 10%（前值 21.30%）,2026-06-17 23:11:42,2025-05-07T04:45:00.000Z,22.17,40.9,待处理,,,,否,
a_mqioqsju4f,常温试剂柜,SENS-004,湿度越下限,湿度 21.30% 低于下限 30%,2026-06-17 23:11:42,2025-05-07T04:40:00.000Z,22.27,21.3,待处理,,,,否,
a_mqioqsjud5,常温试剂柜,SENS-004,湿度漂移,湿度突变 18.00%，超过阈值 10%（前值 39.30%）,2026-06-17 23:11:42,2025-05-07T04:40:00.000Z,22.27,21.3,待处理,,,,否,
a_mqioqsjuf0,常温试剂柜,SENS-004,温度漂移,温度突变 2.34℃，超过阈值 2℃（前值 19.71℃）,2026-06-17 23:11:42,2025-05-07T04:20:00.000Z,22.05,40.8,待处理,,,,否,
a_mqioqsju62,常温试剂柜,SENS-004,温度漂移,温度突变 2.27℃，超过阈值 2℃（前值 21.98℃）,2026-06-17 23:11:42,2025-05-07T04:15:00.000Z,19.71,39.1,待处理,,,,否,
a_mqioqsjue8,常温试剂柜,SENS-004,温度漂移,温度突变 5.49℃，超过阈值 2℃（前值 16.59℃）,2026-06-17 23:11:42,2025-05-07T03:40:00.000Z,22.08,38.3,待处理,,,,否,
a_mqioqsju25,常温试剂柜,SENS-004,温度漂移,温度突变 5.70℃，超过阈值 2℃（前值 22.29℃）,2026-06-17 23:11:42,2025-05-07T03:35:00.000Z,16.59,41.7,待处理,,,,否,
a_mqioqsjt50,常温试剂柜,SENS-004,温度漂移,温度突变 3.37℃，超过阈值 2℃（前值 25.74℃）,2026-06-17 23:11:42,2025-05-07T03:20:00.000Z,22.37,40,待处理,,,,否,
a_mqioqsjtbb,常温试剂柜,SENS-004,温度漂移,温度突变 3.99℃，超过阈值 2℃（前值 21.75℃）,2026-06-17 23:11:42,2025-05-07T03:15:00.000Z,25.74,39.7,待处理,,,,否,
a_mqioqsjtfc,常温试剂柜,SENS-004,湿度漂移,湿度突变 19.90%，超过阈值 10%（前值 58.00%）,2026-06-17 23:11:42,2025-05-07T02:00:00.000Z,21.79,38.1,待处理,,,,否,
a_mqioqsjt18,常温试剂柜,SENS-004,湿度漂移,湿度突变 19.20%，超过阈值 10%（前值 38.80%）,2026-06-17 23:11:42,2025-05-07T01:55:00.000Z,21.97,58,待处理,,,,否,
a_mqioqsjt46,常温试剂柜,SENS-004,温度漂移,温度突变 5.43℃，超过阈值 2℃（前值 27.28℃）,2026-06-17 23:11:42,2025-05-07T00:15:00.000Z,21.85,40.5,待处理,,,,否,
a_mqioqsjt2d,常温试剂柜,SENS-004,温度漂移,温度突变 5.02℃，超过阈值 2℃（前值 22.26℃）,2026-06-17 23:11:42,2025-05-07T00:10:00.000Z,27.28,42,待处理,,,,否,
a_mqioqsjt0e,常温试剂柜,SENS-004,湿度漂移,湿度突变 17.60%，超过阈值 10%（前值 22.00%）,2026-06-17 23:11:42,2025-05-06T22:55:00.000Z,22.12,39.6,待处理,,,,否,
a_mqioqsjs02,常温试剂柜,SENS-004,湿度越下限,湿度 22.00% 低于下限 30%,2026-06-17 23:11:42,2025-05-06T22:50:00.000Z,22.17,22,待处理,,,,否,
a_mqioqsjt86,常温试剂柜,SENS-004,湿度漂移,湿度突变 16.10%，超过阈值 10%（前值 38.10%）,2026-06-17 23:11:42,2025-05-06T22:50:00.000Z,22.17,22,待处理,,,,否,
a_mqioqsjsb4,常温试剂柜,SENS-004,温度漂移,温度突变 4.51℃，超过阈值 2℃（前值 17.48℃）,2026-06-17 23:11:42,2025-05-06T21:35:00.000Z,21.99,41.9,待处理,,,,否,
a_mqioqsjs49,常温试剂柜,SENS-004,温度漂移,温度突变 4.83℃，超过阈值 2℃（前值 22.31℃）,2026-06-17 23:11:42,2025-05-06T21:30:00.000Z,17.48,39.6,待处理,,,,否,
a_mqioqsjs24,常温试剂柜,SENS-004,温度漂移,温度突变 5.36℃，超过阈值 2℃（前值 27.33℃）,2026-06-17 23:11:42,2025-05-06T21:10:00.000Z,21.97,40.4,待处理,,,,否,
a_mqioqsjs2a,常温试剂柜,SENS-004,温度漂移,温度突变 5.29℃，超过阈值 2℃（前值 22.04℃）,2026-06-17 23:11:42,2025-05-06T21:05:00.000Z,27.33,38.5,待处理,,,,否,
a_mqioqsjs0b,常温试剂柜,SENS-004,湿度漂移,湿度突变 19.50%，超过阈值 10%（前值 58.00%）,2026-06-17 23:11:42,2025-05-06T21:05:00.000Z,27.33,38.5,待处理,,,,否,
a_mqioqsjs04,常温试剂柜,SENS-004,湿度漂移,湿度突变 18.60%，超过阈值 10%（前值 39.40%）,2026-06-17 23:11:42,2025-05-06T21:00:00.000Z,22.04,58,待处理,,,,否,
a_mqioqsjs86,常温试剂柜,SENS-004,湿度漂移,湿度突变 19.50%，超过阈值 10%（前值 58.20%）,2026-06-17 23:11:42,2025-05-06T19:20:00.000Z,21.68,38.7,待处理,,,,否,
a_mqioqsjs3d,常温试剂柜,SENS-004,湿度漂移,湿度突变 18.00%，超过阈值 10%（前值 40.20%）,2026-06-17 23:11:42,2025-05-06T19:15:00.000Z,22.25,58.2,待处理,,,,否,
a_mqioqsjr8a,常温试剂柜,SENS-004,温度漂移,温度突变 4.73℃，超过阈值 2℃（前值 26.35℃）,2026-06-17 23:11:42,2025-05-06T18:05:00.000Z,21.62,38.5,待处理,,,,否,
a_mqioqsjrfb,常温试剂柜,SENS-004,温度漂移,温度突变 4.35℃，超过阈值 2℃（前值 22.00℃）,2026-06-17 23:11:42,2025-05-06T18:00:00.000Z,26.35,39.1,待处理,,,,否,
a_mqioqsjr5b,常温试剂柜,SENS-004,湿度漂移,湿度突变 18.60%，超过阈值 10%（前值 58.00%）,2026-06-17 23:11:42,2025-05-06T16:10:00.000Z,22.21,39.4,待处理,,,,否,
a_mqioqsjr26,常温试剂柜,SENS-004,湿度漂移,湿度突变 16.90%，超过阈值 10%（前值 41.10%）,2026-06-17 23:11:42,2025-05-06T16:05:00.000Z,21.69,58,待处理,,,,否,
a_mqioqsjrb3,常温试剂柜,SENS-004,温度漂移,温度突变 4.28℃，超过阈值 2℃（前值 17.63℃）,2026-06-17 23:11:42,2025-05-06T15:30:00.000Z,21.91,40.1,待处理,,,,否,
a_mqioqsjr02,常温试剂柜,SENS-004,湿度漂移,湿度突变 18.10%，超过阈值 10%（前值 22.00%）,2026-06-17 23:11:42,2025-05-06T15:30:00.000Z,21.91,40.1,待处理,,,,否,
a_mqioqsjq48,常温试剂柜,SENS-004,湿度越下限,湿度 22.00% 低于下限 30%,2026-06-17 23:11:42,2025-05-06T15:25:00.000Z,17.63,22,待处理,,,,否,
a_mqioqsjr34,常温试剂柜,SENS-004,温度漂移,温度突变 4.28℃，超过阈值 2℃（前值 21.91℃）,2026-06-17 23:11:42,2025-05-06T15:25:00.000Z,17.63,22,待处理,,,,否,
a_mqioqsjrab,常温试剂柜,SENS-004,湿度漂移,湿度突变 16.40%，超过阈值 10%（前值 38.40%）,2026-06-17 23:11:42,2025-05-06T15:25:00.000Z,17.63,22,待处理,,,,否,
a_mqioqsjqf6,常温试剂柜,SENS-004,温度漂移,温度突变 4.04℃，超过阈值 2℃（前值 26.08℃）,2026-06-17 23:11:42,2025-05-06T15:00:00.000Z,22.04,41.6,待处理,,,,否,
a_mqioqsjq05,常温试剂柜,SENS-004,温度漂移,温度突变 4.24℃，超过阈值 2℃（前值 21.84℃）,2026-06-17 23:11:42,2025-05-06T14:55:00.000Z,26.08,38,待处理,,,,否,
a_mqioqsjqe8,常温试剂柜,SENS-004,温度漂移,温度突变 3.94℃，超过阈值 2℃（前值 25.82℃）,2026-06-17 23:11:42,2025-05-06T11:55:00.000Z,21.88,41.6,待处理,,,,否,
a_mqioqsjq9c,常温试剂柜,SENS-004,温度漂移,温度突变 4.13℃，超过阈值 2℃（前值 21.69℃）,2026-06-17 23:11:42,2025-05-06T11:50:00.000Z,25.82,38.5,待处理,,,,否,
a_mqioqsjq27,常温试剂柜,SENS-004,湿度漂移,湿度突变 17.90%，超过阈值 10%（前值 58.00%）,2026-06-17 23:11:42,2025-05-06T11:15:00.000Z,22.11,40.1,待处理,,,,否,
a_mqioqsjq05,常温试剂柜,SENS-004,湿度漂移,湿度突变 16.70%，超过阈值 10%（前值 41.30%）,2026-06-17 23:11:42,2025-05-06T11:10:00.000Z,21.72,58,待处理,,,,否,
a_mqioqsjp85,常温试剂柜,SENS-004,湿度漂移,湿度突变 18.60%，超过阈值 10%（前值 57.30%）,2026-06-17 23:11:42,2025-05-06T09:55:00.000Z,21.64,38.7,待处理,,,,否,
a_mqioqsjpb7,常温试剂柜,SENS-004,湿度漂移,湿度突变 18.00%，超过阈值 10%（前值 39.30%）,2026-06-17 23:11:42,2025-05-06T09:50:00.000Z,22.1,57.3,待处理,,,,否,
a_mqioqsjp17,常温试剂柜,SENS-004,温度漂移,温度突变 3.79℃，超过阈值 2℃（前值 18.48℃）,2026-06-17 23:11:42,2025-05-06T09:25:00.000Z,22.27,41.4,待处理,,,,否,
a_mqioqsjp88,常温试剂柜,SENS-004,温度漂移,温度突变 3.17℃，超过阈值 2℃（前值 21.65℃）,2026-06-17 23:11:42,2025-05-06T09:20:00.000Z,18.48,39.4,待处理,,,,否,
a_mqioqsjp1e,常温试剂柜,SENS-004,温度漂移,温度突变 5.36℃，超过阈值 2℃（前值 27.10℃）,2026-06-17 23:11:42,2025-05-06T08:50:00.000Z,21.74,38.7,待处理,,,,否,
a_mqioqsjp1f,常温试剂柜,SENS-004,温度漂移,温度突变 4.78℃，超过阈值 2℃（前值 22.32℃）,2026-06-17 23:11:42,2025-05-06T08:45:00.000Z,27.1,39.9,待处理,,,,否,
a_mqioqsjp44,常温试剂柜,SENS-004,湿度漂移,湿度突变 19.80%，超过阈值 10%（前值 22.00%）,2026-06-17 23:11:42,2025-05-06T08:05:00.000Z,22.35,41.8,待处理,,,,否,
a_mqioqsjpfe,常温试剂柜,SENS-004,湿度越下限,湿度 22.00% 低于下限 30%,2026-06-17 23:11:42,2025-05-06T08:00:00.000Z,22.1,22,待处理,,,,否,
a_mqioqsjp70,常温试剂柜,SENS-004,湿度漂移,湿度突变 19.40%，超过阈值 10%（前值 41.40%）,2026-06-17 23:11:42,2025-05-06T08:00:00.000Z,22.1,22,待处理,,,,否,
a_mqioqsjobd,常温试剂柜,SENS-004,湿度漂移,湿度突变 18.60%，超过阈值 10%（前值 58.00%）,2026-06-17 23:11:42,2025-05-06T06:20:00.000Z,22.17,39.4,待处理,,,,否,
a_mqioqsjob0,常温试剂柜,SENS-004,湿度漂移,湿度突变 17.30%，超过阈值 10%（前值 40.70%）,2026-06-17 23:11:42,2025-05-06T06:15:00.000Z,22.14,58,待处理,,,,否,
a_mqioqsjoa4,常温试剂柜,SENS-004,温度漂移,温度突变 5.70℃，超过阈值 2℃（前值 27.44℃）,2026-06-17 23:11:42,2025-05-06T05:45:00.000Z,21.74,38.7,待处理,,,,否,
a_mqioqsjoca,常温试剂柜,SENS-004,温度漂移,温度突变 5.10℃，超过阈值 2℃（前值 22.34℃）,2026-06-17 23:11:42,2025-05-06T05:40:00.000Z,27.44,38.8,待处理,,,,否,
a_mqioqsjofc,常温试剂柜,SENS-004,温度漂移,温度突变 3.57℃，超过阈值 2℃（前值 18.23℃）,2026-06-17 23:11:42,2025-05-06T03:20:00.000Z,21.8,40.6,待处理,,,,否,
a_mqioqsjn13,常温试剂柜,SENS-004,温度漂移,温度突变 3.87℃，超过阈值 2℃（前值 22.10℃）,2026-06-17 23:11:42,2025-05-06T03:15:00.000Z,18.23,40.2,待处理,,,,否,
a_mqioqsjm1b,常温试剂柜,SENS-004,温度漂移,温度突变 5.11℃，超过阈值 2℃（前值 27.14℃）,2026-06-17 23:11:42,2025-05-06T02:40:00.000Z,22.03,40.1,待处理,,,,否,
a_mqioqsjc9a,常温试剂柜,SENS-004,温度漂移,温度突变 5.07℃，超过阈值 2℃（前值 22.07℃）,2026-06-17 23:11:42,2025-05-06T02:35:00.000Z,27.14,38.5,待处理,,,,否,
a_mqioqsjb88,常温试剂柜,SENS-004,湿度漂移,湿度突变 19.90%，超过阈值 10%（前值 58.00%）,2026-06-17 23:11:42,2025-05-06T01:25:00.000Z,22.37,38.1,待处理,,,,否,
a_mqioqsjb6b,常温试剂柜,SENS-004,湿度漂移,湿度突变 16.00%，超过阈值 10%（前值 42.00%）,2026-06-17 23:11:42,2025-05-06T01:20:00.000Z,22.23,58,待处理,,,,否,
a_mqioqsjba9,常温试剂柜,SENS-004,湿度漂移,湿度突变 18.20%，超过阈值 10%（前值 22.00%）,2026-06-17 23:11:42,2025-05-06T00:40:00.000Z,21.6,40.2,待处理,,,,否,
a_mqioqsjb7d,常温试剂柜,SENS-004,湿度越下限,湿度 22.00% 低于下限 30%,2026-06-17 23:11:42,2025-05-06T00:35:00.000Z,21.9,22,待处理,,,,否,
a_mqioqsjb5d,常温试剂柜,SENS-004,湿度漂移,湿度突变 17.10%，超过阈值 10%（前值 39.10%）,2026-06-17 23:11:42,2025-05-06T00:35:00.000Z,21.9,22,待处理,,,,否,
a_mqioqsjbea,常温试剂柜,SENS-004,湿度漂移,湿度突变 16.00%，超过阈值 10%（前值 23.10%）,2026-06-17 23:11:42,2025-05-06T00:30:00.000Z,22.27,39.1,待处理,,,,否,
a_mqioqsjb3b,常温试剂柜,SENS-004,湿度越下限,湿度 23.10% 低于下限 30%,2026-06-17 23:11:42,2025-05-06T00:25:00.000Z,21.72,23.1,待处理,,,,否,
a_mqioqsjb02,常温试剂柜,SENS-004,湿度漂移,湿度突变 18.00%，超过阈值 10%（前值 41.10%）,2026-06-17 23:11:42,2025-05-06T00:25:00.000Z,21.72,23.1,待处理,,,,否,
a_mqioqsjb0b,常温试剂柜,SENS-004,温度漂移,温度突变 3.82℃，超过阈值 2℃（前值 25.65℃）,2026-06-17 23:11:42,2025-05-05T23:35:00.000Z,21.83,41.7,待处理,,,,否,
a_mqioqsjaf9,常温试剂柜,SENS-004,温度漂移,温度突变 3.38℃，超过阈值 2℃（前值 22.27℃）,2026-06-17 23:11:42,2025-05-05T23:30:00.000Z,25.65,38.9,待处理,,,,否,
a_mqioqsjad9,常温试剂柜,SENS-004,温度漂移,温度突变 4.96℃，超过阈值 2℃（前值 17.43℃）,2026-06-17 23:11:42,2025-05-05T21:15:00.000Z,22.39,41.5,待处理,,,,否,
a_mqioqsja9d,常温试剂柜,SENS-004,温度漂移,温度突变 4.88℃，超过阈值 2℃（前值 22.31℃）,2026-06-17 23:11:42,2025-05-05T21:10:00.000Z,17.43,40.7,待处理,,,,否,
a_mqioqsja3b,常温试剂柜,SENS-004,温度漂移,温度突变 3.89℃，超过阈值 2℃（前值 25.77℃）,2026-06-17 23:11:42,2025-05-05T20:30:00.000Z,21.88,40.2,待处理,,,,否,
a_mqioqsjaa7,常温试剂柜,SENS-004,湿度漂移,湿度突变 17.80%，超过阈值 10%（前值 58.00%）,2026-06-17 23:11:42,2025-05-05T20:30:00.000Z,21.88,40.2,待处理,,,,否,
a_mqioqsjaff,常温试剂柜,SENS-004,温度漂移,温度突变 3.77℃，超过阈值 2℃（前值 22.00℃）,2026-06-17 23:11:42,2025-05-05T20:25:00.000Z,25.77,58,待处理,,,,否,
a_mqioqsjabe,常温试剂柜,SENS-004,湿度漂移,湿度突变 16.40%，超过阈值 10%（前值 41.60%）,2026-06-17 23:11:42,2025-05-05T20:25:00.000Z,25.77,58,待处理,,,,否,
a_mqioqsj9d7,常温试剂柜,SENS-004,温度漂移,温度突变 2.06℃，超过阈值 2℃（前值 21.96℃）,2026-06-17 23:11:42,2025-05-05T18:35:00.000Z,19.9,40.2,待处理,,,,否,
a_mqioqsj919,常温试剂柜,SENS-004,温度漂移,温度突变 5.06℃，超过阈值 2℃（前值 27.33℃）,2026-06-17 23:11:42,2025-05-05T17:25:00.000Z,22.27,38.6,待处理,,,,否,
a_mqioqsj973,常温试剂柜,SENS-004,温度漂移,温度突变 5.53℃，超过阈值 2℃（前值 21.80℃）,2026-06-17 23:11:42,2025-05-05T17:20:00.000Z,27.33,40.7,待处理,,,,否,
a_mqioqsj9b6,常温试剂柜,SENS-004,湿度漂移,湿度突变 17.90%，超过阈值 10%（前值 22.00%）,2026-06-17 23:11:42,2025-05-05T17:15:00.000Z,21.8,39.9,待处理,,,,否,
a_mqioqsj9a0,常温试剂柜,SENS-004,湿度越下限,湿度 22.00% 低于下限 30%,2026-06-17 23:11:42,2025-05-05T17:10:00.000Z,22.26,22,待处理,,,,否,
a_mqioqsj9f0,常温试剂柜,SENS-004,湿度漂移,湿度突变 17.80%，超过阈值 10%（前值 39.80%）,2026-06-17 23:11:42,2025-05-05T17:10:00.000Z,22.26,22,待处理,,,,否,
a_mqioqsj971,常温试剂柜,SENS-004,湿度漂移,湿度突变 16.00%，超过阈值 10%（前值 58.00%）,2026-06-17 23:11:42,2025-05-05T15:35:00.000Z,22.09,42,待处理,,,,否,
a_mqioqsj956,常温试剂柜,SENS-004,湿度漂移,湿度突变 19.20%，超过阈值 10%（前值 38.80%）,2026-06-17 23:11:42,2025-05-05T15:30:00.000Z,22.05,58,待处理,,,,否,
a_mqioqsj9cb,常温试剂柜,SENS-004,温度漂移,温度突变 4.59℃，超过阈值 2℃（前值 17.63℃）,2026-06-17 23:11:42,2025-05-05T15:10:00.000Z,22.22,41.8,待处理,,,,否,
a_mqioqsj87a,常温试剂柜,SENS-004,温度漂移,温度突变 4.45℃，超过阈值 2℃（前值 22.08℃）,2026-06-17 23:11:42,2025-05-05T15:05:00.000Z,17.63,39.2,待处理,,,,否,
a_mqioqsj937,常温试剂柜,SENS-004,湿度漂移,湿度突变 17.40%，超过阈值 10%（前值 56.60%）,2026-06-17 23:11:42,2025-05-05T15:05:00.000Z,17.63,39.2,待处理,,,,否,
a_mqioqsj813,常温试剂柜,SENS-004,湿度漂移,湿度突变 18.00%，超过阈值 10%（前值 38.60%）,2026-06-17 23:11:42,2025-05-05T15:00:00.000Z,22.08,56.6,待处理,,,,否,
a_mqioqsj8ea,常温试剂柜,SENS-004,温度漂移,温度突变 4.43℃，超过阈值 2℃（前值 26.60℃）,2026-06-17 23:11:42,2025-05-05T14:20:00.000Z,22.17,39.6,待处理,,,,否,
a_mqioqsj8ed,常温试剂柜,SENS-004,温度漂移,温度突变 4.46℃，超过阈值 2℃（前值 22.14℃）,2026-06-17 23:11:42,2025-05-05T14:15:00.000Z,26.6,39.4,待处理,,,,否,
a_mqioqsj8fc,常温试剂柜,SENS-004,温度漂移,温度突变 4.14℃，超过阈值 2℃（前值 26.22℃）,2026-06-17 23:11:42,2025-05-05T11:15:00.000Z,22.08,40.2,待处理,,,,否,
a_mqioqsj88a,常温试剂柜,SENS-004,温度漂移,温度突变 4.34℃，超过阈值 2℃（前值 21.88℃）,2026-06-17 23:11:42,2025-05-05T11:10:00.000Z,26.22,39.9,待处理,,,,否,
a_mqioqsj89a,常温试剂柜,SENS-004,湿度漂移,湿度突变 18.30%，超过阈值 10%（前值 58.00%）,2026-06-17 23:11:42,2025-05-05T10:40:00.000Z,21.93,39.7,待处理,,,,否,
a_mqioqsj8ee,常温试剂柜,SENS-004,湿度漂移,湿度突变 19.00%，超过阈值 10%（前值 39.00%）,2026-06-17 23:11:42,2025-05-05T10:35:00.000Z,22.32,58,待处理,,,,否,
a_mqioqsj82c,常温试剂柜,SENS-004,温度漂移,温度突变 3.19℃，超过阈值 2℃（前值 18.68℃）,2026-06-17 23:11:42,2025-05-05T10:15:00.000Z,21.87,40.7,待处理,,,,否,
a_mqioqsj7b1,常温试剂柜,SENS-004,温度漂移,温度突变 3.17℃，超过阈值 2℃（前值 21.85℃）,2026-06-17 23:11:42,2025-05-05T10:10:00.000Z,18.68,39.3,待处理,,,,否,
a_mqioqsj7e5,常温试剂柜,SENS-004,湿度漂移,湿度突变 19.20%，超过阈值 10%（前值 22.00%）,2026-06-17 23:11:42,2025-05-05T09:50:00.000Z,22.09,41.2,待处理,,,,否,
a_mqioqsj7ba,常温试剂柜,SENS-004,湿度越下限,湿度 22.00% 低于下限 30%,2026-06-17 23:11:42,2025-05-05T09:45:00.000Z,22.35,22,待处理,,,,否,
a_mqioqsj72d,常温试剂柜,SENS-004,湿度漂移,湿度突变 16.30%，超过阈值 10%（前值 38.30%）,2026-06-17 23:11:42,2025-05-05T09:45:00.000Z,22.35,22,待处理,,,,否,
a_mqioqsj757,常温试剂柜,SENS-004,温度漂移,温度突变 4.13℃，超过阈值 2℃（前值 17.56℃）,2026-06-17 23:11:42,2025-05-05T09:05:00.000Z,21.69,39.1,待处理,,,,否,
a_mqioqsj77e,常温试剂柜,SENS-004,温度漂移,温度突变 4.82℃，超过阈值 2℃（前值 22.38℃）,2026-06-17 23:11:42,2025-05-05T09:00:00.000Z,17.56,41.9,待处理,,,,否,
a_mqioqsj771,常温试剂柜,SENS-004,温度漂移,温度突变 5.40℃，超过阈值 2℃（前值 27.01℃）,2026-06-17 23:11:42,2025-05-05T08:10:00.000Z,21.61,39.8,待处理,,,,否,
a_mqioqsj7dc,常温试剂柜,SENS-004,温度漂移,温度突变 4.97℃，超过阈值 2℃（前值 22.04℃）,2026-06-17 23:11:42,2025-05-05T08:05:00.000Z,27.01,39.8,待处理,,,,否,
