异常ID,传感器,传感器ID,类型,描述,检测时间,读数时间,温度,湿度,当前状态,处理人,处理原因,标注时间,是否回滚,回滚原因
a_mqj784cn41,一号冷库,SENS-001,温度越下限,温度 4.19℃ 低于下限 15℃,2026-06-18 07:49:04,2025-05-07T15:10:00.000Z,4.19,53.2,待处理,,,,否,
a_mqj784cnc2,一号冷库,SENS-001,温度越下限,温度 4.76℃ 低于下限 15℃,2026-06-18 07:49:04,2025-05-07T15:05:00.000Z,4.76,53.8,待处理,,,,否,
a_mqj784cn5f,一号冷库,SENS-001,温度越下限,温度 4.46℃ 低于下限 15℃,2026-06-18 07:49:04,2025-05-07T15:00:00.000Z,4.46,56.3,待处理,,,,否,
a_mqj784cn72,一号冷库,SENS-001,温度越下限,温度 4.84℃ 低于下限 15℃,2026-06-18 07:49:04,2025-05-07T14:55:00.000Z,4.84,53.5,待处理,,,,否,
a_mqj784cm6e,一号冷库,SENS-001,温度越下限,温度 4.54℃ 低于下限 15℃,2026-06-18 07:49:04,2025-05-07T14:50:00.000Z,4.54,55.5,待处理,,,,否,
a_mqj784cma1,一号冷库,SENS-001,温度越下限,温度 4.33℃ 低于下限 15℃,2026-06-18 07:49:04,2025-05-07T14:45:00.000Z,4.33,56.9,待处理,,,,否,
a_mqj784cm4b,一号冷库,SENS-001,温度越下限,温度 4.58℃ 低于下限 15℃,2026-06-18 07:49:04,2025-05-07T14:40:00.000Z,4.58,55.6,待处理,,,,否,
a_mqj784cmc1,一号冷库,SENS-001,温度越下限,温度 4.13℃ 低于下限 15℃,2026-06-18 07:49:04,2025-05-07T14:35:00.000Z,4.13,53.1,待处理,,,,否,
a_mqj784cmf2,一号冷库,SENS-001,温度越下限,温度 4.45℃ 低于下限 15℃,2026-06-18 07:49:04,2025-05-07T14:30:00.000Z,4.45,54.4,待处理,,,,否,
a_mqj784cl96,一号冷库,SENS-001,温度越下限,温度 4.76℃ 低于下限 15℃,2026-06-18 07:49:04,2025-05-07T14:25:00.000Z,4.76,54.1,待处理,,,,否,
a_mqj784cl1a,一号冷库,SENS-001,温度越下限,温度 4.88℃ 低于下限 15℃,2026-06-18 07:49:04,2025-05-07T14:20:00.000Z,4.88,53.4,待处理,,,,否,
a_mqj784cla5,一号冷库,SENS-001,温度越下限,温度 4.57℃ 低于下限 15℃,2026-06-18 07:49:04,2025-05-07T14:15:00.000Z,4.57,55.4,待处理,,,,否,
a_mqj784ck9a,一号冷库,SENS-001,温度越下限,温度 4.32℃ 低于下限 15℃,2026-06-18 07:49:04,2025-05-07T14:10:00.000Z,4.32,55.7,待处理,,,,否,
a_mqj784clfa,一号冷库,SENS-001,湿度漂移,湿度突变 19.10%，超过阈值 10%（前值 36.60%）,2026-06-18 07:49:04,2025-05-07T14:10:00.000Z,4.32,55.7,待处理,,,,否,
a_mqj784ck17,一号冷库,SENS-001,温度越下限,温度 4.42℃ 低于下限 15℃,2026-06-18 07:49:04,2025-05-07T14:05:00.000Z,4.42,36.6,待处理,,,,否,
a_mqj784ckb1,一号冷库,SENS-001,湿度漂移,湿度突变 18.00%，超过阈值 10%（前值 54.60%）,2026-06-18 07:49:04,2025-05-07T14:05:00.000Z,4.42,36.6,待处理,,,,否,
a_mqj784ck74,一号冷库,SENS-001,温度越下限,温度 4.51℃ 低于下限 15℃,2026-06-18 07:49:04,2025-05-07T14:00:00.000Z,4.51,54.6,待处理,,,,否,
a_mqj784ck09,一号冷库,SENS-001,温度越下限,温度 4.80℃ 低于下限 15℃,2026-06-18 07:49:04,2025-05-07T13:55:00.000Z,4.8,55.4,待处理,,,,否,
a_mqj784cj41,一号冷库,SENS-001,温度越下限,温度 4.43℃ 低于下限 15℃,2026-06-18 07:49:04,2025-05-07T13:50:00.000Z,4.43,56.2,待处理,,,,否,
a_mqj784cjf9,一号冷库,SENS-001,温度越下限,温度 4.46℃ 低于下限 15℃,2026-06-18 07:49:04,2025-05-07T13:45:00.000Z,4.46,55.1,待处理,,,,否,
a_mqj784cj8a,一号冷库,SENS-001,湿度漂移,湿度突变 18.10%，超过阈值 10%（前值 37.00%）,2026-06-18 07:49:04,2025-05-07T13:45:00.000Z,4.46,55.1,待处理,,,,否,
a_mqj784ci9d,一号冷库,SENS-001,温度越下限,温度 4.84℃ 低于下限 15℃,2026-06-18 07:49:04,2025-05-07T13:40:00.000Z,4.84,37,待处理,,,,否,
a_mqj784cj38,一号冷库,SENS-001,湿度漂移,湿度突变 16.10%，超过阈值 10%（前值 53.10%）,2026-06-18 07:49:04,2025-05-07T13:40:00.000Z,4.84,37,待处理,,,,否,
a_mqj784ci51,一号冷库,SENS-001,温度越下限,温度 4.35℃ 低于下限 15℃,2026-06-18 07:49:04,2025-05-07T13:35:00.000Z,4.35,53.1,待处理,,,,否,
a_mqj784cif9,一号冷库,SENS-001,温度越下限,温度 4.22℃ 低于下限 15℃,2026-06-18 07:49:04,2025-05-07T13:30:00.000Z,4.22,55.6,待处理,,,,否,
a_mqj784cidf,一号冷库,SENS-001,温度越下限,温度 4.33℃ 低于下限 15℃,2026-06-18 07:49:04,2025-05-07T13:25:00.000Z,4.33,55.2,待处理,,,,否,
a_mqj784ci63,一号冷库,SENS-001,温度越下限,温度 4.69℃ 低于下限 15℃,2026-06-18 07:49:04,2025-05-07T13:20:00.000Z,4.69,54.5,待处理,,,,否,
a_mqj784ch8f,一号冷库,SENS-001,温度越下限,温度 4.33℃ 低于下限 15℃,2026-06-18 07:49:04,2025-05-07T13:15:00.000Z,4.33,54.7,待处理,,,,否,
a_mqj784ch44,一号冷库,SENS-001,温度越下限,温度 4.61℃ 低于下限 15℃,2026-06-18 07:49:04,2025-05-07T13:10:00.000Z,4.61,55,待处理,,,,否,
a_mqj784chdc,一号冷库,SENS-001,温度越下限,温度 4.41℃ 低于下限 15℃,2026-06-18 07:49:04,2025-05-07T13:05:00.000Z,4.41,54.9,待处理,,,,否,
a_mqj784chc3,一号冷库,SENS-001,温度越下限,温度 4.52℃ 低于下限 15℃,2026-06-18 07:49:04,2025-05-07T13:00:00.000Z,4.52,55.1,待处理,,,,否,
a_mqj784ch35,一号冷库,SENS-001,温度越下限,温度 4.62℃ 低于下限 15℃,2026-06-18 07:49:04,2025-05-07T12:55:00.000Z,4.62,53,待处理,,,,否,
a_mqj784cga0,一号冷库,SENS-001,温度越下限,温度 4.84℃ 低于下限 15℃,2026-06-18 07:49:04,2025-05-07T12:50:00.000Z,4.84,53.1,待处理,,,,否,
a_mqj784cg34,一号冷库,SENS-001,温度越下限,温度 4.53℃ 低于下限 15℃,2026-06-18 07:49:04,2025-05-07T12:45:00.000Z,4.53,55.5,待处理,,,,否,
a_mqj784cg43,一号冷库,SENS-001,温度漂移,温度突变 3.25℃，超过阈值 2℃（前值 7.78℃）,2026-06-18 07:49:04,2025-05-07T12:45:00.000Z,4.53,55.5,待处理,,,,否,
a_mqj784cg30,一号冷库,SENS-001,温度越下限,温度 7.78℃ 低于下限 15℃,2026-06-18 07:49:04,2025-05-07T12:40:00.000Z,7.78,55.6,待处理,,,,否,
a_mqj784cg90,一号冷库,SENS-001,温度漂移,温度突变 2.90℃，超过阈值 2℃（前值 4.88℃）,2026-06-18 07:49:04,2025-05-07T12:40:00.000Z,7.78,55.6,待处理,,,,否,
a_mqj784cfda,一号冷库,SENS-001,温度越下限,温度 4.88℃ 低于下限 15℃,2026-06-18 07:49:04,2025-05-07T12:35:00.000Z,4.88,54.5,待处理,,,,否,
a_mqj784cf88,一号冷库,SENS-001,温度漂移,温度突变 3.77℃，超过阈值 2℃（前值 8.65℃）,2026-06-18 07:49:04,2025-05-07T12:35:00.000Z,4.88,54.5,待处理,,,,否,
a_mqj784cfc7,一号冷库,SENS-001,温度越下限,温度 8.65℃ 低于下限 15℃,2026-06-18 07:49:04,2025-05-07T12:30:00.000Z,8.65,54.3,待处理,,,,否,
a_mqj784cf39,一号冷库,SENS-001,温度漂移,温度突变 4.20℃，超过阈值 2℃（前值 4.45℃）,2026-06-18 07:49:04,2025-05-07T12:30:00.000Z,8.65,54.3,待处理,,,,否,
a_mqj784ce2c,一号冷库,SENS-001,温度越下限,温度 4.45℃ 低于下限 15℃,2026-06-18 07:49:04,2025-05-07T12:25:00.000Z,4.45,54.1,待处理,,,,否,
a_mqj784cec3,一号冷库,SENS-001,温度越下限,温度 4.47℃ 低于下限 15℃,2026-06-18 07:49:04,2025-05-07T12:20:00.000Z,4.47,55.1,待处理,,,,否,
a_mqj784ce61,一号冷库,SENS-001,温度越下限,温度 4.83℃ 低于下限 15℃,2026-06-18 07:49:04,2025-05-07T12:15:00.000Z,4.83,54.2,待处理,,,,否,
a_mqj784ce23,一号冷库,SENS-001,温度越下限,温度 4.50℃ 低于下限 15℃,2026-06-18 07:49:04,2025-05-07T12:10:00.000Z,4.5,54.8,待处理,,,,否,
a_mqj784ce87,一号冷库,SENS-001,温度越下限,温度 4.76℃ 低于下限 15℃,2026-06-18 07:49:04,2025-05-07T12:05:00.000Z,4.76,56.3,待处理,,,,否,
a_mqj784cdfc,一号冷库,SENS-001,温度越下限,温度 4.79℃ 低于下限 15℃,2026-06-18 07:49:04,2025-05-07T12:00:00.000Z,4.79,55.5,待处理,,,,否,
a_mqj784cd0b,一号冷库,SENS-001,温度越下限,温度 4.28℃ 低于下限 15℃,2026-06-18 07:49:04,2025-05-07T11:55:00.000Z,4.28,53.7,待处理,,,,否,
a_mqj784cd34,一号冷库,SENS-001,温度越下限,温度 4.15℃ 低于下限 15℃,2026-06-18 07:49:04,2025-05-07T11:50:00.000Z,4.15,55.3,待处理,,,,否,
a_mqj784cdf8,一号冷库,SENS-001,湿度漂移,湿度突变 17.70%，超过阈值 10%（前值 73.00%）,2026-06-18 07:49:04,2025-05-07T11:50:00.000Z,4.15,55.3,待处理,,,,否,
a_mqj784cca2,一号冷库,SENS-001,温度越下限,温度 4.56℃ 低于下限 15℃,2026-06-18 07:49:04,2025-05-07T11:45:00.000Z,4.56,73,待处理,,,,否,
a_mqj784cc30,一号冷库,SENS-001,湿度越上限,湿度 73.00% 超过上限 70%,2026-06-18 07:49:04,2025-05-07T11:45:00.000Z,4.56,73,待处理,,,,否,
a_mqj784cda8,一号冷库,SENS-001,湿度漂移,湿度突变 19.60%，超过阈值 10%（前值 53.40%）,2026-06-18 07:49:04,2025-05-07T11:45:00.000Z,4.56,73,待处理,,,,否,
a_mqj784ccf8,一号冷库,SENS-001,温度越下限,温度 4.32℃ 低于下限 15℃,2026-06-18 07:49:04,2025-05-07T11:40:00.000Z,4.32,53.4,待处理,,,,否,
a_mqj784cc0d,一号冷库,SENS-001,温度越下限,温度 4.78℃ 低于下限 15℃,2026-06-18 07:49:04,2025-05-07T11:35:00.000Z,4.78,54.7,待处理,,,,否,
a_mqj784cb15,一号冷库,SENS-001,温度越下限,温度 4.68℃ 低于下限 15℃,2026-06-18 07:49:04,2025-05-07T11:30:00.000Z,4.68,56.5,待处理,,,,否,
a_mqj784cbcb,一号冷库,SENS-001,温度越下限,温度 4.35℃ 低于下限 15℃,2026-06-18 07:49:04,2025-05-07T11:25:00.000Z,4.35,56.6,待处理,,,,否,
a_mqj784cbd1,一号冷库,SENS-001,温度越下限,温度 4.78℃ 低于下限 15℃,2026-06-18 07:49:04,2025-05-07T11:20:00.000Z,4.78,53.2,待处理,,,,否,
a_mqj784cb1c,一号冷库,SENS-001,温度越下限,温度 4.88℃ 低于下限 15℃,2026-06-18 07:49:04,2025-05-07T11:15:00.000Z,4.88,53.6,待处理,,,,否,
a_mqj784cb76,一号冷库,SENS-001,温度越下限,温度 4.10℃ 低于下限 15℃,2026-06-18 07:49:04,2025-05-07T11:10:00.000Z,4.1,54,待处理,,,,否,
a_mqj784ca85,一号冷库,SENS-001,温度越下限,温度 4.68℃ 低于下限 15℃,2026-06-18 07:49:04,2025-05-07T11:05:00.000Z,4.68,53.4,待处理,,,,否,
a_mqj784ca60,一号冷库,SENS-001,温度越下限,温度 4.10℃ 低于下限 15℃,2026-06-18 07:49:04,2025-05-07T11:00:00.000Z,4.1,54.7,待处理,,,,否,
a_mqj784ca53,一号冷库,SENS-001,温度越下限,温度 4.12℃ 低于下限 15℃,2026-06-18 07:49:04,2025-05-07T10:55:00.000Z,4.12,56.3,待处理,,,,否,
a_mqj784cacf,一号冷库,SENS-001,温度越下限,温度 4.21℃ 低于下限 15℃,2026-06-18 07:49:04,2025-05-07T10:50:00.000Z,4.21,54,待处理,,,,否,
a_mqj784caf2,一号冷库,SENS-001,温度越下限,温度 4.47℃ 低于下限 15℃,2026-06-18 07:49:04,2025-05-07T10:45:00.000Z,4.47,54.5,待处理,,,,否,
a_mqj784c9d6,一号冷库,SENS-001,温度越下限,温度 4.13℃ 低于下限 15℃,2026-06-18 07:49:04,2025-05-07T10:40:00.000Z,4.13,54.1,待处理,,,,否,
a_mqj784c9bc,一号冷库,SENS-001,温度越下限,温度 4.72℃ 低于下限 15℃,2026-06-18 07:49:04,2025-05-07T10:35:00.000Z,4.72,53.7,待处理,,,,否,
a_mqj784c924,一号冷库,SENS-001,温度越下限,温度 4.11℃ 低于下限 15℃,2026-06-18 07:49:04,2025-05-07T10:30:00.000Z,4.11,55.5,待处理,,,,否,
a_mqj784c9c9,一号冷库,SENS-001,温度越下限,温度 4.66℃ 低于下限 15℃,2026-06-18 07:49:04,2025-05-07T10:25:00.000Z,4.66,54,待处理,,,,否,
a_mqj784c9a0,一号冷库,SENS-001,温度越下限,温度 4.33℃ 低于下限 15℃,2026-06-18 07:49:04,2025-05-07T10:20:00.000Z,4.33,55.2,待处理,,,,否,
a_mqj784c863,一号冷库,SENS-001,温度越下限,温度 4.38℃ 低于下限 15℃,2026-06-18 07:49:04,2025-05-07T10:15:00.000Z,4.38,56.4,待处理,,,,否,
a_mqj784c8c1,一号冷库,SENS-001,温度越下限,温度 4.65℃ 低于下限 15℃,2026-06-18 07:49:04,2025-05-07T10:10:00.000Z,4.65,54.9,待处理,,,,否,
a_mqj784c8fe,一号冷库,SENS-001,温度越下限,温度 4.38℃ 低于下限 15℃,2026-06-18 07:49:04,2025-05-07T10:05:00.000Z,4.38,53,待处理,,,,否,
a_mqj784c8e4,一号冷库,SENS-001,温度越下限,温度 4.18℃ 低于下限 15℃,2026-06-18 07:49:04,2025-05-07T10:00:00.000Z,4.18,56.1,待处理,,,,否,
a_mqj784c7e8,一号冷库,SENS-001,温度越下限,温度 4.64℃ 低于下限 15℃,2026-06-18 07:49:04,2025-05-07T09:55:00.000Z,4.64,55.2,待处理,,,,否,
a_mqj784c7ec,一号冷库,SENS-001,温度越下限,温度 4.60℃ 低于下限 15℃,2026-06-18 07:49:04,2025-05-07T09:50:00.000Z,4.6,53.9,待处理,,,,否,
a_mqj784c7dd,一号冷库,SENS-001,温度越下限,温度 4.88℃ 低于下限 15℃,2026-06-18 07:49:04,2025-05-07T09:45:00.000Z,4.88,57,待处理,,,,否,
a_mqj784c78c,一号冷库,SENS-001,温度漂移,温度突变 4.24℃，超过阈值 2℃（前值 0.64℃）,2026-06-18 07:49:04,2025-05-07T09:45:00.000Z,4.88,57,待处理,,,,否,
a_mqj784c6ba,一号冷库,SENS-001,温度越下限,温度 0.64℃ 低于下限 15℃,2026-06-18 07:49:04,2025-05-07T09:40:00.000Z,0.64,54.2,待处理,,,,否,
a_mqj784c692,一号冷库,SENS-001,温度漂移,温度突变 3.63℃，超过阈值 2℃（前值 4.27℃）,2026-06-18 07:49:04,2025-05-07T09:40:00.000Z,0.64,54.2,待处理,,,,否,
a_mqj784c64a,一号冷库,SENS-001,温度越下限,温度 4.27℃ 低于下限 15℃,2026-06-18 07:49:04,2025-05-07T09:35:00.000Z,4.27,56.1,待处理,,,,否,
a_mqj784c677,一号冷库,SENS-001,温度越下限,温度 4.12℃ 低于下限 15℃,2026-06-18 07:49:04,2025-05-07T09:30:00.000Z,4.12,55.4,待处理,,,,否,
a_mqj784c63f,一号冷库,SENS-001,温度漂移,温度突变 4.42℃，超过阈值 2℃（前值 8.54℃）,2026-06-18 07:49:04,2025-05-07T09:30:00.000Z,4.12,55.4,待处理,,,,否,
a_mqj784c5f1,一号冷库,SENS-001,温度越下限,温度 8.54℃ 低于下限 15℃,2026-06-18 07:49:04,2025-05-07T09:25:00.000Z,8.54,55.7,待处理,,,,否,
a_mqj784c521,一号冷库,SENS-001,温度漂移,温度突变 3.90℃，超过阈值 2℃（前值 4.64℃）,2026-06-18 07:49:04,2025-05-07T09:25:00.000Z,8.54,55.7,待处理,,,,否,
a_mqj784c563,一号冷库,SENS-001,温度越下限,温度 4.64℃ 低于下限 15℃,2026-06-18 07:49:04,2025-05-07T09:20:00.000Z,4.64,53.3,待处理,,,,否,
a_mqj784c517,一号冷库,SENS-001,温度越下限,温度 4.28℃ 低于下限 15℃,2026-06-18 07:49:04,2025-05-07T09:15:00.000Z,4.28,56,待处理,,,,否,
a_mqj784c491,一号冷库,SENS-001,温度越下限,温度 4.42℃ 低于下限 15℃,2026-06-18 07:49:04,2025-05-07T09:10:00.000Z,4.42,53.8,待处理,,,,否,
a_mqj784c472,一号冷库,SENS-001,温度越下限,温度 4.77℃ 低于下限 15℃,2026-06-18 07:49:04,2025-05-07T09:05:00.000Z,4.77,54.1,待处理,,,,否,
a_mqj784c403,一号冷库,SENS-001,温度越下限,温度 4.77℃ 低于下限 15℃,2026-06-18 07:49:04,2025-05-07T09:00:00.000Z,4.77,53.1,待处理,,,,否,
a_mqj784c405,一号冷库,SENS-001,温度越下限,温度 4.25℃ 低于下限 15℃,2026-06-18 07:49:04,2025-05-07T08:55:00.000Z,4.25,53.7,待处理,,,,否,
a_mqj784c48c,一号冷库,SENS-001,温度越下限,温度 4.72℃ 低于下限 15℃,2026-06-18 07:49:04,2025-05-07T08:50:00.000Z,4.72,54.9,待处理,,,,否,
a_mqj784c30c,一号冷库,SENS-001,温度越下限,温度 4.72℃ 低于下限 15℃,2026-06-18 07:49:04,2025-05-07T08:45:00.000Z,4.72,55,待处理,,,,否,
a_mqj784c3f3,一号冷库,SENS-001,温度越下限,温度 4.52℃ 低于下限 15℃,2026-06-18 07:49:04,2025-05-07T08:40:00.000Z,4.52,54,待处理,,,,否,
a_mqj784c346,一号冷库,SENS-001,温度越下限,温度 4.22℃ 低于下限 15℃,2026-06-18 07:49:04,2025-05-07T08:35:00.000Z,4.22,54.3,待处理,,,,否,
a_mqj784c2be,一号冷库,SENS-001,温度越下限,温度 4.66℃ 低于下限 15℃,2026-06-18 07:49:04,2025-05-07T08:30:00.000Z,4.66,56.5,待处理,,,,否,
a_mqj784c2fe,一号冷库,SENS-001,温度越下限,温度 4.17℃ 低于下限 15℃,2026-06-18 07:49:04,2025-05-07T08:25:00.000Z,4.17,53.3,待处理,,,,否,
a_mqj784c2a6,一号冷库,SENS-001,温度越下限,温度 4.60℃ 低于下限 15℃,2026-06-18 07:49:04,2025-05-07T08:20:00.000Z,4.6,55,待处理,,,,否,
a_mqj784c2a9,一号冷库,SENS-001,温度越下限,温度 4.32℃ 低于下限 15℃,2026-06-18 07:49:04,2025-05-07T08:15:00.000Z,4.32,56.1,待处理,,,,否,
a_mqj784c260,一号冷库,SENS-001,温度越下限,温度 4.51℃ 低于下限 15℃,2026-06-18 07:49:04,2025-05-07T08:10:00.000Z,4.51,54.4,待处理,,,,否,
a_mqj784c278,一号冷库,SENS-001,温度越下限,温度 4.80℃ 低于下限 15℃,2026-06-18 07:49:04,2025-05-07T08:05:00.000Z,4.8,55.6,待处理,,,,否,
a_mqj784c12f,一号冷库,SENS-001,温度越下限,温度 4.25℃ 低于下限 15℃,2026-06-18 07:49:04,2025-05-07T08:00:00.000Z,4.25,56.6,待处理,,,,否,
a_mqj784c1ec,一号冷库,SENS-001,温度越下限,温度 4.49℃ 低于下限 15℃,2026-06-18 07:49:04,2025-05-07T07:55:00.000Z,4.49,56,待处理,,,,否,
a_mqj784c16a,一号冷库,SENS-001,温度越下限,温度 4.54℃ 低于下限 15℃,2026-06-18 07:49:04,2025-05-07T07:50:00.000Z,4.54,54.9,待处理,,,,否,
a_mqj784c1d2,一号冷库,SENS-001,温度越下限,温度 4.17℃ 低于下限 15℃,2026-06-18 07:49:04,2025-05-07T07:45:00.000Z,4.17,56.6,待处理,,,,否,
a_mqj784c067,一号冷库,SENS-001,温度越下限,温度 4.65℃ 低于下限 15℃,2026-06-18 07:49:04,2025-05-07T07:40:00.000Z,4.65,56.5,待处理,,,,否,
a_mqj784c043,一号冷库,SENS-001,温度越下限,温度 4.36℃ 低于下限 15℃,2026-06-18 07:49:04,2025-05-07T07:35:00.000Z,4.36,55.5,待处理,,,,否,
a_mqj784c04b,一号冷库,SENS-001,温度越下限,温度 4.61℃ 低于下限 15℃,2026-06-18 07:49:04,2025-05-07T07:30:00.000Z,4.61,54.8,待处理,,,,否,
a_mqj784c019,一号冷库,SENS-001,温度越下限,温度 4.70℃ 低于下限 15℃,2026-06-18 07:49:04,2025-05-07T07:25:00.000Z,4.7,54.9,待处理,,,,否,
a_mqj784bzc4,一号冷库,SENS-001,温度越下限,温度 4.80℃ 低于下限 15℃,2026-06-18 07:49:04,2025-05-07T07:20:00.000Z,4.8,56,待处理,,,,否,
a_mqj784bz7f,一号冷库,SENS-001,温度越下限,温度 4.52℃ 低于下限 15℃,2026-06-18 07:49:04,2025-05-07T07:15:00.000Z,4.52,53.8,待处理,,,,否,
a_mqj784bz94,一号冷库,SENS-001,温度越下限,温度 4.40℃ 低于下限 15℃,2026-06-18 07:49:04,2025-05-07T07:10:00.000Z,4.4,53.6,待处理,,,,否,
a_mqj784bz13,一号冷库,SENS-001,温度越下限,温度 4.79℃ 低于下限 15℃,2026-06-18 07:49:04,2025-05-07T07:05:00.000Z,4.79,55.2,待处理,,,,否,
a_mqj784bzd8,一号冷库,SENS-001,温度越下限,温度 4.41℃ 低于下限 15℃,2026-06-18 07:49:04,2025-05-07T07:00:00.000Z,4.41,56.4,待处理,,,,否,
a_mqj784bya1,一号冷库,SENS-001,温度越下限,温度 4.26℃ 低于下限 15℃,2026-06-18 07:49:04,2025-05-07T06:55:00.000Z,4.26,55.4,待处理,,,,否,
a_mqj784byf4,一号冷库,SENS-001,湿度漂移,湿度突变 17.60%，超过阈值 10%（前值 73.00%）,2026-06-18 07:49:04,2025-05-07T06:55:00.000Z,4.26,55.4,待处理,,,,否,
a_mqj784by2a,一号冷库,SENS-001,温度越下限,温度 4.86℃ 低于下限 15℃,2026-06-18 07:49:04,2025-05-07T06:50:00.000Z,4.86,73,待处理,,,,否,
a_mqj784by33,一号冷库,SENS-001,湿度越上限,湿度 73.00% 超过上限 70%,2026-06-18 07:49:04,2025-05-07T06:50:00.000Z,4.86,73,待处理,,,,否,
a_mqj784by1d,一号冷库,SENS-001,湿度漂移,湿度突变 19.90%，超过阈值 10%（前值 53.10%）,2026-06-18 07:49:04,2025-05-07T06:50:00.000Z,4.86,73,待处理,,,,否,
a_mqj784by90,一号冷库,SENS-001,温度越下限,温度 4.83℃ 低于下限 15℃,2026-06-18 07:49:04,2025-05-07T06:45:00.000Z,4.83,53.1,待处理,,,,否,
a_mqj784bxbb,一号冷库,SENS-001,温度越下限,温度 4.83℃ 低于下限 15℃,2026-06-18 07:49:04,2025-05-07T06:40:00.000Z,4.83,55,待处理,,,,否,
a_mqj784bweb,一号冷库,SENS-001,温度越下限,温度 4.74℃ 低于下限 15℃,2026-06-18 07:49:04,2025-05-07T06:35:00.000Z,4.74,56,待处理,,,,否,
a_mqj784bm65,一号冷库,SENS-001,温度越下限,温度 4.72℃ 低于下限 15℃,2026-06-18 07:49:04,2025-05-07T06:30:00.000Z,4.72,54.7,待处理,,,,否,
a_mqj784bma3,一号冷库,SENS-001,温度越下限,温度 4.23℃ 低于下限 15℃,2026-06-18 07:49:04,2025-05-07T06:25:00.000Z,4.23,54.9,待处理,,,,否,
a_mqj784bm3a,一号冷库,SENS-001,温度漂移,温度突变 4.82℃，超过阈值 2℃（前值 9.05℃）,2026-06-18 07:49:04,2025-05-07T06:25:00.000Z,4.23,54.9,待处理,,,,否,
a_mqj784bicb,一号冷库,SENS-001,温度越下限,温度 9.05℃ 低于下限 15℃,2026-06-18 07:49:04,2025-05-07T06:20:00.000Z,9.05,53.4,待处理,,,,否,
a_mqj784bl7b,一号冷库,SENS-001,温度漂移,温度突变 4.76℃，超过阈值 2℃（前值 4.29℃）,2026-06-18 07:49:04,2025-05-07T06:20:00.000Z,9.05,53.4,待处理,,,,否,
a_mqj784bl2d,一号冷库,SENS-001,湿度漂移,湿度突变 16.40%，超过阈值 10%（前值 37.00%）,2026-06-18 07:49:04,2025-05-07T06:20:00.000Z,9.05,53.4,待处理,,,,否,
a_mqj784bh59,一号冷库,SENS-001,温度越下限,温度 4.29℃ 低于下限 15℃,2026-06-18 07:49:04,2025-05-07T06:15:00.000Z,4.29,37,待处理,,,,否,
